case,marker_id,element_id,center_r_um,center_height_above_surface_um,vx_m_s,vy_m_s,layer_id
ep_5p0uj_ejecta_8500ms,253,7613,2.400000,2.205000,222.505744,14388.356599,8
ep_5p0uj_ejecta_8500ms,254,7614,3.000000,2.205000,268.685114,13899.640214,8
ep_5p0uj_ejecta_8500ms,255,7615,3.600000,2.205000,309.088031,13324.806016,8
ep_5p0uj_ejecta_8500ms,256,7616,4.200000,2.205000,343.045151,12676.028350,8
ep_5p0uj_ejecta_8500ms,257,7617,4.800000,2.205000,370.109735,11966.591851,8
ep_5p0uj_ejecta_8500ms,258,7618,5.400000,2.205000,390.063468,11210.441733,8
ep_5p0uj_ejecta_8500ms,259,7619,6.000000,2.205000,402.911799,10421.733012,8
ep_5p0uj_ejecta_8500ms,260,7620,6.600000,2.205000,408.869635,9614.398760,8
ep_5p0uj_ejecta_8500ms,261,7621,7.200000,2.205000,408.338733,8801.755259,8
ep_5p0uj_ejecta_8500ms,262,7622,7.800000,2.205000,401.878536,7996.158912,8
ep_5p0uj_ejecta_8500ms,263,7623,8.400000,2.205000,390.172443,7208.725939,8
ep_5p0uj_ejecta_8500ms,264,7624,9.000000,2.205000,373.991632,6449.121862,8
ep_5p0uj_ejecta_8500ms,265,7625,9.600000,2.205000,354.158482,5725.423578,8
ep_5p0uj_ejecta_8500ms,266,7626,10.200000,2.205000,331.511498,5044.052884,8
ep_5p0uj_ejecta_8500ms,267,7627,10.800000,2.205000,306.873339,4409.776822,8
ep_5p0uj_ejecta_8500ms,268,7628,11.400000,2.205000,281.023219,3825.767381,8
ep_5p0uj_ejecta_8500ms,269,7629,12.000000,2.205000,254.674533,3293.710921,8
ep_5p0uj_ejecta_8500ms,270,7630,12.600000,2.205000,228.458177,2813.956437,8
ep_5p0uj_ejecta_8500ms,271,7631,13.200000,2.205000,202.911637,2385.691208,8
ep_5p0uj_ejecta_8500ms,272,7632,13.800000,2.205000,178.473582,2007.132580,8
ep_5p0uj_ejecta_8500ms,273,7633,14.400000,2.205000,155.483442,1675.725434,8
ep_5p0uj_ejecta_8500ms,274,7634,15.000000,2.205000,134.185220,1388.336151,8
ep_5p0uj_ejecta_8500ms,275,7635,15.600000,2.205000,114.734695,1141.435495,8
ep_5p0uj_ejecta_8500ms,276,7636,16.200000,2.205000,97.209093,931.264580,8
ep_5p0uj_ejecta_8500ms,277,7637,16.800000,2.205000,81.618356,753.979897,8
ep_5p0uj_ejecta_8500ms,278,7638,17.400000,2.205000,67.917151,605.775101,8
ep_5p0uj_ejecta_8500ms,279,7639,18.000000,2.205000,56.016935,482.978770,8
ep_5p0uj_ejecta_8500ms,280,7640,0.000000,2.455000,0.000000,16150.000000,9
ep_5p0uj_ejecta_8500ms,281,7641,0.600000,2.455000,58.924236,16088.109436,9
ep_5p0uj_ejecta_8500ms,282,7642,1.200000,2.455000,116.498789,15903.857185,9
ep_5p0uj_ejecta_8500ms,283,7643,1.800000,2.455000,171.425370,15601.447456,9
ep_5p0uj_ejecta_8500ms,284,7644,2.400000,2.455000,222.505744,15187.709744,9
ep_5p0uj_ejecta_8500ms,285,7645,3.000000,2.455000,268.685114,14671.842448,9
ep_5p0uj_ejecta_8500ms,286,7646,3.600000,2.455000,309.088031,14065.073017,9
ep_5p0uj_ejecta_8500ms,287,7647,4.200000,2.455000,343.045151,13380.252147,9
ep_5p0uj_ejecta_8500ms,288,7648,4.800000,2.455000,370.109735,12631.402510,9
ep_5p0uj_ejecta_8500ms,289,7649,5.400000,2.455000,390.063468,11833.244051,9
ep_5p0uj_ejecta_8500ms,290,7650,6.000000,2.455000,402.911799,11000.718180,9
ep_5p0uj_ejecta_8500ms,291,7651,6.600000,2.455000,408.869635,10148.532024,9
ep_5p0uj_ejecta_8500ms,292,7652,7.200000,2.455000,408.338733,9290.741663,9
